ProductName,Listing Price,Sale Price,Discount,Brand (Adidas=1 Nike=2),Rating,Reviews
2 Nike Renew Run,899,6995,0,2,4.3,12
2 Air Jordan 10 Retro,999,15995,0,2,4.7,223
2 Air Jordan 12 Retro,999,15995,0,2,4.5,24
2 Nike Air Max 270 React,999,12995,0,2,4,1
2 Nike Mercurial Superfly 7 Academy MDS MG,999,8995,0,2,0,0
2 Nike Air Zoom Winflo 6,999,7995,0,2,5,3
2 Nike Air Max 97,999,15995,0,2,5,1
2 Nike Zoom Fly 3 Premium,999,14995,0,2,0,0
2 Nike MX-720-818,999,15995,0,2,4.4,5
2 Nike React Element 55,999,11995,0,2,3.9,17
2 Nike SB Charge Slip Premium,999,5495,0,2,0,0
2 Nike Free RN 5.0 2020,999,7995,0,2,0,0
2 Nike ZoomX Vista Grind,1199,13995,0,2,4.5,2
2 Nike Air Force 1 React,1299,9995,0,2,0,0
2 PG 4 EP,1299,8995,0,2,4.5,2
2 Nike Air Max 2090,1299,11995,0,2,0,0
2 Nike Air Force 1 07 LV8,1299,7995,0,2,5,3
2 Kyrie 6 AS EP,1299,10995,0,2,0,0
2 Nike Air VaporMax Flyknit 3,1299,16995,0,2,3.7,50
2 Nike Air Max Verona,1299,9995,0,2,5,2
2 Nike Air Force 1 Shadow,1299,8995,0,2,4.8,20
2 Nike Air Tailwind 79,1299,7995,0,2,3.9,17
2 Nike Zoom 2K,1299,6995,0,2,4.9,8
2 Nike Zoom Pegasus Turbo 2,1299,15995,0,2,3.1,54
2 Nike Kawa Shower,1299,1595,0,2,4.5,6
2 Nike React Infinity Run Flyknit,1299,13995,0,2,4.6,68
2 Nike Air Max 1 DNA Ch. 1,1299,12995,0,2,0,0
2 Nike Legend React 2,1299,7995,0,2,0,0
2 Nike Metcon 5,1299,10995,0,2,3.7,31
2 Nike Air VaporMax 360,1299,18995,0,2,0,0
2 Nike Blazer Low QS Flyleather with at least 50% leather fibre,1299,6495,0,2,2,2
2 Nike SB Dunk High Pro,1299,8995,0,2,4.8,4
2 Nike Air Max 90 FlyEase,1299,9995,0,2,4,1
2 Nike Metcon 5 AMP,1299,11995,0,2,5,2
2 Nike React Kenny 55,1299,12995,0,2,5,1
2 Nike Air Force 1 Low Retro,1299,10995,0,2,4.5,2
2 NikeCourt Zoom Cage 3,1299,13495,0,2,3.6,20
2 Nike Air Max 90 Print,1299,12995,0,2,0,0
2 Nike Metcon Sport,1299,7995,0,2,3.6,14
2 Jordan Mars 270,1299,14995,0,2,4.6,15
2 Nike Air Zoom Vomero 14,1499,11995,0,2,4.2,23
2 Nike Air Max 720,1499,15995,0,2,0,0
2 Nike Zoom Fly,1499,14495,0,2,4.3,105
2 Nike Zoom Fly 3,1499,13995,0,2,4,30
2 Nike Air Zoom Pegasus 35,1499,10995,0,2,3.9,61
2 Nike Air Zoom Pegasus 36 Trail,1499,10995,0,2,4.6,12
2 KD13 EP,1499,12995,0,2,0,0
2 Nike Air Monarch IV,1499,5295,0,2,4.1,94
2 Zoom Freak 1,1499,9995,0,2,4.2,30
2 Nike Mercurial Superfly 7 Academy IC,1499,8495,0,2,5,1
2 Air Jordan 1 Low,1499,8995,0,2,4.6,34
2 Nike Air Max 95 Print,1499,16995,0,2,0,0
2 Nike Mercurial Vapor 13 Elite FG,1499,21995,0,2,3.5,4
2 Nike SB Adversary Premium,1499,7995,0,2,0,0
2 Nike Zoom KD12,1499,12995,0,2,4.6,18
2 Nike Air Max 90,1499,9995,0,2,4.7,9
2 Air Jordan 4 Retro SE,1499,18995,0,2,4.8,11
2 Nike SB Zoom Stefan Janoski Canvas RM Premium,1499,7995,0,2,1,1
2 Nike Mercurial Superfly 7 Academy MDS TF,1499,8995,0,2,0,0
2 Nike Pegasus 36 FlyEase (Extra Wide),1499,9995,0,2,3,4
2 Air Jordan OG,1499,11995,0,2,0,0
2 Nike Air Max 270 React ENG,1499,14995,0,2,0,0
2 Jordan Aerospace 720,1499,16995,0,2,5,1
2 Jordan Hydro 8,1499,3995,0,2,4,1
2 Nike Air Max 90/1,1499,14995,0,2,0,0
2 Nike Air Max 1 Premium,1499,11995,0,2,0,0
2 Nike Tiempo Legend 8 Club MG,1499,4495,0,2,0,0
2 Nike Air Zoom Terra Kiger 6,1599,10995,0,2,5,2
